name	rawTweet	tweet_id	label
842072478834909184	RT @WhiteHouse: First look: the special guests joining First Lady Melania Trump at President @realDonaldTrump's second State of the Union A…	0000	2
842072478834909184	RT @WhiteHouse: If you have info that could assist the @FBI investigation of suspicious packages, call 1-800-CALLFBI (225-5324) or go onlin…	0000	2
842072478834909184	RT @WhiteHouse: They said it couldn’t be done… https://t.co/gqxL1ErE7J	0000	2
842072478834909184	RT @POTUS: Congratulations to @SecretarySonny on being confirmed as the 31st @USDA Secretary! -DJT	0000	2
888031054141022209	RT @PressSec: President @realDonaldTrump meets with @SenatorTimScott @LindseyGrahamSC @SenThomTillis @SenatorBurr @SBALinda @MickMulvaneyOM…	0000	2
888031054141022209	RT @realDonaldTrump: Our great team at @FEMA is prepared for #HurricaneNate. Everyone in LA, MS, AL, and FL please listen to your local aut…	0000	2
888031054141022209	RT @VP: .@POTUS &amp; I continue to monitor #HurricaneIrma updates. Visit https://t.co/2H22XpTtPj  for info &amp; listen to advice of local/state o…	0000	2
819992522109894658	"RT @WhiteHouse: ""Together, we represent the most extraordinary Nation in all of history."""	0000	2
819992522109894658	"RT @WhiteHouse: ""As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first ever Gov…"	0000	2
819992522109894658	RT @WhiteHouse: More people are working now than at any time in the history of our country—157 million people at work.	0000	2
819992522109894658	RT @WhiteHouse: LIVE now: President Trump’s second State of the Union Address https://t.co/K4ytXhQmIX	0000	2
819992522109894658	RT @WhiteHouse: First look: the special guests joining First Lady Melania Trump at President @realDonaldTrump's second State of the Union A…	0000	2
819992522109894658	RT @HouseSmallBiz: Today is Small Business Saturday, an opportunity to join in and support the small businesses in your neighborhood and ac…	0000	2
819992522109894658	RT @NFIB: BREAKING: The NFIB #SmallBiz Optimism Index soared in August to 108.8 – the highest in the survey’s 45-year history. Read the ful…	0000	2
819992522109894658	RT @realDonaldTrump: To the incredible citizens of North Carolina, South Carolina and the entire East Coast - the storm looks very bad! Ple…	0000	2
819992522109894658	RT @realDonaldTrump: Happy 243rd Birthday to the @USArmy! Thank you for your bravery, sacrifices, and dedication to the U.S.A. We love you!…	0000	2
819992522109894658	RT @WhiteHouse: Today we celebrate both President George Washington and President Abraham Lincoln—as well as America’s other 43 Commanders…	0000	2
